Freq,Permittivity,Conductivity,Permittivity Uncertainty,Conductivity Uncertainty
2165000000,79.857,1.211633964,0.023960801,0.007432942
2170000000,79.89306667,1.212127487,0.016183428,0.001143289
2175000000,79.89046667,1.203172776,0.010536761,0.001772567
2180000000,79.83803333,1.197085488,0.019937987,0.003001227
2185000000,79.82413333,1.205221621,0.010179063,0.003840157
2190000000,79.72906667,1.210865691,0.017372776,0.00119008
2195000000,79.6779,1.22696682,0.010850346,0.003220446
2200000000,79.66326667,1.241913529,0.021668487,0.002196707
2205000000,79.6778,1.261554277,0.022918988,0.004174366
2210000000,79.68383333,1.272619871,0.018603315,0.000904804
2215000000,79.72523333,1.280668036,0.029400907,0.003540599
2220000000,79.79286667,1.284838654,0.026916414,0.001061369
2225000000,79.80583333,1.283422727,0.006882102,0.002207558
2230000000,79.79866667,1.275324406,0.019718097,0.001232949
2235000000,79.77523333,1.272790137,0.018237964,0.003872911
2240000000,79.71753333,1.270576346,0.020701771,0.002477948
2245000000,79.6735,1.277145044,0.01651575,0.002437209
2250000000,79.60643333,1.288530568,0.017598106,0.001396706
2255000000,79.57123333,1.30616931,0.02332688,0.002650399
2260000000,79.54956667,1.318373421,0.028040388,0.003521591
2265000000,79.5664,1.335350162,0.031526338,0.00347801
2270000000,79.60353333,1.339745346,0.007343251,0.002559691
2275000000,79.6381,1.349000442,0.022554157,0.00119792
2280000000,79.6424,1.347253213,0.024305761,0.00319944
2285000000,79.66583333,1.344858488,0.017969233,0.002359157
2290000000,79.63873333,1.342487044,0.015270996,0.002067862
2295000000,79.62016667,1.341564232,0.015572519,0.001451181
2300000000,79.54816667,1.34768012,0.030568829,0.000358408
2305000000,79.52553333,1.35341683,0.018935769,0.001603245
2310000000,79.48856667,1.366076338,0.015570592,0.002153843
2315000000,79.44346667,1.382935861,0.023229364,0.000571259
2320000000,79.4537,1.390846502,0.008784646,0.002284552
2325000000,79.49763333,1.406164808,0.036318912,0.002114987
2330000000,79.51763333,1.406938753,0.021336901,0.00230804
2335000000,79.5148,1.409049052,0.018945184,0.002011324
2340000000,79.52586667,1.409585364,0.013020881,0.001350413
2345000000,79.5333,1.410450104,0.016747239,0.001110005
2350000000,79.50963333,1.409998944,0.025200066,0.002214627
2355000000,79.47553333,1.415434658,0.021198428,0.001913445
2360000000,79.43856667,1.42195243,0.021321429,0.002335915
2365000000,79.39363333,1.429208383,0.028007559,0.002083445
2370000000,79.3763,1.441938241,0.024022698,0.001581567
2375000000,79.3733,1.454506564,0.020154652,0.004203452
2380000000,79.3573,1.456033509,0.038278323,0.003001378
2385000000,79.4145,1.467650856,0.018563674,0.002859639
2390000000,79.4233,1.469438575,0.018885709,0.001396786
2395000000,79.43383333,1.4727036,0.020838746,0.001850166
2400000000,79.4244,1.475279907,0.020231905,0.001601531
2405000000,79.4188,1.478389069,0.022928585,0.001359807
2410000000,79.3835,1.484169661,0.028057797,0.001661896
2415000000,79.36736667,1.489616811,0.020311655,0.002646047
2420000000,79.33586667,1.498559048,0.024012983,0.000505179
2425000000,79.33466667,1.503021673,0.029074101,0.004762889
2430000000,79.30333333,1.509638387,0.025698703,0.003675104
2435000000,79.3181,1.518891842,0.0330315,0.001357008
2440000000,79.32523333,1.517135318,0.038211822,0.004286533
2445000000,79.32576667,1.525809376,0.013020881,0.002111686
2450000000,79.3379,1.533716032,0.025680148,0.002087303
2455000000,79.34413333,1.538593432,0.021221059,0.003190563
2460000000,79.31293333,1.547891743,0.011800141,0.003983519
2465000000,79.3147,1.554446317,0.019959208,0.00337126
2470000000,79.31253333,1.562063136,0.031645747,0.001856525
2475000000,79.3277,1.568092399,0.022118996,0.001589814
2480000000,79.27863333,1.576335101,0.044781953,0.002958991
2485000000,79.317,1.573087767,0.029787749,0.005265002
